invoice_line_no,date,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters,sale_gallons,longitude,latitude
INV-41267800015,2021-10-22,4898,BURLINGTON SHELL,130 S ROOSEVELT AVE,BURLINGTON,52601,"{'type': 'Point', 'coordinates': [-91.140986, 40.808239]}",29,DES MOINES,1062200,WHITE RUM,035,BACARDI USA INC,43121,BACARDI SUPERIOR MINI,12,50,5.54,8.31,1,8.31,0.05,0.01,,
INV-41328800010,2021-10-25,4552,CASEY'S GENERAL STORE #2493 / BUFFALO,222 W FRONT ST,BUFFALO,52728,,82,SCOTT,1062400,SPICED RUM,259,HEAVEN HILL BRANDS,43028,ADMIRAL NELSON SPICED,6,1750,11.55,17.33,4,69.32,7.0,1.84,,
INV-41206100091,2021-10-21,2675,HY-VEE #2 / CORALVILLE,3285 CROSSPARK RD,CORALVILLE,52241,"{'type': 'Point', 'coordinates': [-91.60627100000002, 41.721438]}",52,JOHNSON,1022200,100% AGAVE TEQUILA,035,BACARDI USA INC,88294,PATRON SILVER,12,375,15.00,22.50,2,45.0,0.75,0.19,,
INV-41261900014,2021-10-22,4334,FAREWAY STORES #114 / DUBUQUE,2050 JOHN F KENNEDY RD,DUBUQUE,52001,,31,DUBUQUE,1011200,STRAIGHT BOURBON WHISKIES,434,LUXCO INC,21206,REBEL KSBW,12,750,8.50,12.75,2,25.5,1.5,0.39,,
INV-41312600044,2021-10-25,4604,PIT STOP LIQUORS / NEWTON,"1324, 1ST AVE E",NEWTON,50208,,50,JASPER,1011200,STRAIGHT BOURBON WHISKIES,065,JIM BEAM BRANDS,28279,JIM BEAM PEACH,12,750,11.00,16.50,4,66.0,3.0,0.79,,
INV-41283100015,2021-10-22,4271,FAREWAY STORES #827 / CENTERVILLE,305 S 18TH ST,CENTERVILLE,52544,,04,APPANOOSE,1081200,CREAM LIQUEURS,260,DIAGEO AMERICAS,74086,GODIVA DARK CHOCOLATE LIQUEUR,12,750,17.00,25.50,1,25.5,0.75,0.19,,
INV-41306300153,2021-10-25,6198,THE LIQUOR CABINET / CLIVE,9761 UNIVERSITY AVE.,CLIVE,50325,"{'type': 'Point', 'coordinates': [-93.75151700000002, 41.600499]}",77,POLK,1011600,STRAIGHT RYE WHISKIES,214,GOAMERICAGO BEVERAGES LLC / WHISTLEPIG,15320,WHISTLEPIG 15YR,3,750,137.49,206.24,1,206.24,0.75,0.19,,
INV-41316100124,2021-10-25,2576,HY-VEE WINE AND SPIRITS / STORM LAKE,1250 N LAKE ST,STORM LAKE,50588,"{'type': 'Point', 'coordinates': [-95.200758, 42.65318400000001]}",11,BUENA VISTA,1082200,IMPORTED SCHNAPPS,421,SAZERAC COMPANY  INC,69637,DR MCGILLICUDDYS CHERRY,12,1000,11.00,16.50,2,33.0,2.0,0.52,,
INV-41320500006,2021-10-25,4945,OSAGE LIQUORS,"508, MAIN ST",OSAGE,50461,,66,MITCHELL,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,2,49.78,1.5,0.39,,
INV-41327500020,2021-10-25,4962,HILLTOP GROCERY,1312 HARRISON ST,DAVENPORT,52803,,82,SCOTT,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,24,110.64,9.0,2.37,,
INV-41262400041,2021-10-22,2649,HY-VEE #3 / DUBUQUE,400 LOCUST ST,DUBUQUE,52001,"{'type': 'Point', 'coordinates': [-90.666497, 42.49721900000001]}",31,DUBUQUE,1031200,AMERICAN FLAVORED VODKA,380,PHILLIPS BEVERAGE,41694,UV BLUE RASPBERRY,12,1000,7.50,11.25,3,33.75,3.0,0.79,,
INV-41288200096,2021-10-22,2644,HY-VEE FORT DODGE WINE AND SPIRITS,1511 2ND AVE NORTH,FORT DODGE,50501,"{'type': 'Point', 'coordinates': [-94.177165, 42.508344]}",94,WEBSTER,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64867,FIREBALL CINNAMON WHISKEY,12,1000,11.34,17.01,24,408.24,24.0,6.34,,
INV-41322800004,2021-10-25,5682,AMBYSURE INC / CLINTON,1641 S BLUFF BLVD,CLINTON,52732,"{'type': 'Point', 'coordinates': [-90.225022, 41.833351]}",23,CLINTON,1031100,AMERICAN VODKAS,209,MINHAS MICRO DISTILLERY,38581,WISCONSIN CLUB VODKA,6,1750,6.50,9.75,12,117.0,21.0,5.54,,
INV-41307500439,2021-10-25,6236,WESTSIDE SPIRITS / CEDAR RAPIDS,3330 16TH AVE. SW,CEDAR RAPIDS,52404,"{'type': 'Point', 'coordinates': [-91.715563, 41.963571]}",57,LINN,1032100,IMPORTED VODKAS,370,PERNOD RICARD USA,34006,ABSOLUT SWEDISH VODKA 80PRF,12,750,9.99,14.99,24,359.76,18.0,4.75,,
INV-41284200024,2021-10-22,3916,SMOKIN' JOE'S #5 TOBACCO AND LIQUOR OUTLET,1115 ALBIA RD,OTTUMWA,52501,"{'type': 'Point', 'coordinates': [-92.437224, 41.009342]}",90,WAPELLO,1022100,MIXTO TEQUILA,395,PROXIMO,89196,JOSE CUERVO ESPECIAL REPOSADO,12,750,11.07,16.61,1,16.61,0.75,0.19,,
