invoice_line_no,date,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters,sale_gallons,longitude,latitude
INV-41313500012,2021-10-25,4539,CASEY'S GENERAL STORE #40 / SCRANTON,900 LOCUST ST,SCRANTON,51462,"{'type': 'Point', 'coordinates': [-94.551577, 42.02248]}",37,GREENE,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18.0,4.75,,
INV-41329000031,2021-10-25,4967,JEFF'S MARKET / BLUE GRASS,"102, W MAYNE ST",BLUE GRASS,52726,"{'type': 'Point', 'coordinates': [-90.766196, 41.509403]}",82,SCOTT,1011200,STRAIGHT BOURBON WHISKIES,065,JIM BEAM BRANDS,27410,JIM BEAM HONEY,12,750,11.00,16.50,2,33.0,1.5,0.39,,
INV-41235400048,2021-10-21,6224,MID TOWN LIQUOR & VAPE / MASON CITY,824 NORTH FEDERAL AVENUE,MASON CITY,50401,"{'type': 'Point', 'coordinates': [-93.20108600000002, 43.15973300000001]}",17,CERRO GORDO,1011100,BLENDED WHISKIES,492,WESTERN SPIRITS BEVERAGE,26176,BIRD DOG STRAWBERRY MINI,6,50,5.00,7.50,1,7.5,0.05,0.01,,
INV-41169600003,2021-10-20,6026,MOD / KEOKUK,3345 MAIN ST,KEOKUK,52632,"{'type': 'Point', 'coordinates': [-91.406348, 40.417842]}",56,LEE,1011600,STRAIGHT RYE WHISKIES,421,SAZERAC COMPANY  INC,27100,SAZERAC RYE,6,750,16.94,25.41,6,152.46,4.5,1.18,,
INV-41299800006,2021-10-25,5462,7STAR LIQUOR & TOBACCO OUTLET,502 E AVE NW,CEDAR RAPIDS,52405,"{'type': 'Point', 'coordinates': [-91.680323, 41.977958]}",57,LINN,1031100,AMERICAN VODKAS,301,FIFTH GENERATION INC,38174,TITOS HANDMADE VODKA,12,375,5.42,8.13,12,97.56,4.5,1.18,,
INV-41270400035,2021-10-22,5517,MEPO FOODS / MEDIAPOLIS,111 WAPELLO ST N,MEDIAPOLIS,52637,"{'type': 'Point', 'coordinates': [-91.170033, 41.008539]}",29,DES MOINES,1012400,IRISH WHISKIES,370,PERNOD RICARD USA,15627,JAMESON,12,1000,19.48,29.22,1,29.22,1.0,0.26,,
INV-41301700008,2021-10-25,5347,KUM & GO #1097 / 50TH WDM,220 50TH ST,WEST DES MOINES,50265,"{'type': 'Point', 'coordinates': [-93.770919, 41.572085]}",77,POLK,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,2,49.78,1.5,0.39,,
INV-41318000003,2021-10-25,4024,WAL-MART 1546 / IOWA FALLS,840 S OAK,IOWA FALLS,50126,"{'type': 'Point', 'coordinates': [-93.262446, 42.503407]}",42,HARDIN,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64866,FIREBALL CINNAMON WHISKEY,12,750,9.00,13.50,12,162.0,9.0,2.37,,
INV-41255800033,2021-10-22,6209,HY-VEE / GRIMES,351 NORTHEAST GATEWAY DRIVE,GRIMES,50111,,77,POLK,1031100,AMERICAN VODKAS,626,JDSO INC / RED BOOT DISTILLERY,36875,BLUE OX VODKA,6,1750,7.28,10.92,6,65.52,10.5,2.77,,
INV-41267700019,2021-10-22,4794,SMOKIN' JOE'S #17 TOBACCO AND LIQUOR OUTLET,110 S ROOSEVELT HWY 61,BURLINGTON,52601,,29,DES MOINES,1062500,FLAVORED RUM,035,BACARDI USA INC,43145,BACARDI PINEAPPLE FUSION,12,750,8.26,12.39,1,12.39,0.75,0.19,,
INV-41239900030,2021-10-21,2548,HY-VEE FOOD STORE / ALTOONA,100 8TH STREET SW,ALTOONA,50009,"{'type': 'Point', 'coordinates': [-93.465301, 41.644041]}",77,POLK,1071100,COCKTAILS/RTD,308,MANGO BOTTLING,71529,TOOTERS ALA BAMA SLAMA,12,375,6.00,9.00,12,108.0,4.5,1.18,,
INV-41286400006,2021-10-22,5233,CASEY'S GENERAL STORE #2640 / PLEASA,1006 W PLEASANT ST,PLEASANTVILLE,50225,"{'type': 'Point', 'coordinates': [-93.279175, 41.392695]}",63,MARION,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,12,94.2,9.0,2.37,,
INV-41273800004,2021-10-22,5611,CASEY'S GENERAL STORE #2908 / ANAMOSA,1752 HWY 64 E,ANAMOSA,52205,"{'type': 'Point', 'coordinates': [-91.263728, 42.102923]}",53,JONES,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64864,FIREBALL CINNAMON WHISKEY,24,375,5.33,8.00,24,192.0,9.0,2.37,,
INV-41299300014,2021-10-25,2568,HY-VEE FOOD STORE #4 / CEDAR RAPIDS,1556 FIRST AVENUE NE,CEDAR RAPIDS,52402,,57,LINN,1031100,AMERICAN VODKAS,434,LUXCO INC,36308,HAWKEYE VODKA,6,1750,7.17,10.76,6,64.56,10.5,2.77,,
INV-41234000018,2021-10-21,2515,HY-VEE FOOD STORE #1 / MASON CITY,2400 4TH ST SW,MASON CITY,50401,"{'type': 'Point', 'coordinates': [-93.235588, 43.148451]}",17,CERRO GORDO,1082000,IMPORTED CORDIALS & LIQUEURS,389,REMY COINTREAU USA INC,65896,METAXA OUZO,12,750,10.73,16.10,1,16.1,0.75,0.19,,
INV-41286700116,2021-10-22,2602,HY-VEE FOOD STORE / WEBSTER CITY,823  2ND ST,WEBSTER CITY,50595,"{'type': 'Point', 'coordinates': [-93.82579, 42.470549]}",40,HAMILTON,1031100,AMERICAN VODKAS,301,FIFTH GENERATION INC,38176,TITOS HANDMADE VODKA,12,750,10.00,15.00,24,360.0,18.0,4.75,,
INV-41310300010,2021-10-25,2687,HY-VEE FAST & FRESH EXPRESS- BETTENDORF,3470 MIDDLE ROAD,BETTENDORF,57222,"{'type': 'Point', 'coordinates': [-90.484139, 41.551386]}",82,SCOTT,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,7.35,11.03,3,33.09,0.15,0.03,,
INV-41181600126,2021-10-20,2565,HY-VEE FOOD STORE #1636 / SPENCER,819 N GRAND AVE,SPENCER,51301,"{'type': 'Point', 'coordinates': [-95.14506, 43.145897]}",21,CLAY,1051100,AMERICAN BRANDIES,259,HEAVEN HILL BRANDS,52318,CHRISTIAN BROS BRANDY,6,1750,12.00,18.00,6,108.0,10.5,2.77,,
INV-41283300020,2021-10-22,2523,HY-VEE FOOD STORE / CENTERVILLE,609 N 18TH,CENTERVILLE,52544,"{'type': 'Point', 'coordinates': [-92.867967, 40.737577]}",04,APPANOOSE,1031100,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,12,60.12,9.0,2.37,,
INV-41329000044,2021-10-25,4967,JEFF'S MARKET / BLUE GRASS,"102, W MAYNE ST",BLUE GRASS,52726,"{'type': 'Point', 'coordinates': [-90.766196, 41.509403]}",82,SCOTT,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,10550,BLACK VELVET TOASTED CARAMEL,12,750,5.23,7.85,3,23.55,2.25,0.59,,
INV-41264700045,2021-10-22,5971,PONY CREEK LIQUOR / GLENWOOD,411 S LOCUST ST,GLENWOOD,51534,"{'type': 'Point', 'coordinates': [-95.744542, 41.042019]}",65,MILLS,1011500,BOTTLED IN BOND BOURBON,259,HEAVEN HILL BRANDS,995550,SOOH JTS BROWN  BONDED BOURBON,12,750,9.00,13.50,6,81.0,4.5,1.18,,
INV-41236600008,2021-10-21,2582,HY-VEE #2 FOOD STORE / MASON CITY,551 S ILLINOIS AVE,MASON CITY,50401,"{'type': 'Point', 'coordinates': [-93.168973, 43.146531]}",17,CERRO GORDO,1012100,CANADIAN WHISKIES,421,SAZERAC COMPANY  INC,11346,SEAGRAMS VO CANADIAN WHISKEY,12,750,5.23,7.85,60,471.0,45.0,11.88,,
INV-41328900007,2021-10-25,5969,CASEY'S GENERAL STORE #3288 / BLUE GRASS,301 E. MAYNE ST,BLUE GRASS,52726,"{'type': 'Point', 'coordinates': [-90.762646, 41.509099]}",82,SCOTT,1031100,AMERICAN VODKAS,434,LUXCO INC,36301,HAWKEYE VODKA MINI,12,50,4.13,6.20,12,74.4,0.6,0.15,,
INV-41319400002,2021-10-25,6071,A&Z LIQUORS / HAMPTON,721 CENTRAL AVE W,HAMPTON,50441,"{'type': 'Point', 'coordinates': [-93.21693, 42.741728]}",35,FRANKLIN,1022200,100% AGAVE TEQUILA,580,MARA IMPORTS,87906,AMOR REPOSADO,6,750,30.00,45.00,6,270.0,4.5,1.18,,
INV-41273600025,2021-10-22,5333,FAREWAY STORES #166/ ANAMOSA,402 E MAIN,ANAMOSA,52205,"{'type': 'Point', 'coordinates': [-91.281344, 42.108275]}",53,JONES,1012300,SINGLE MALT SCOTCH,240,WILLIAM GRANT & SONS INC,5006,GLENFIDDICH 12YR SPECIAL RESERVE,12,750,26.00,39.00,1,39.0,0.75,0.19,,
INV-41254000033,2021-10-22,4450,KUM & GO #157 / URBANDALE,4585 156TH ST,URBANDALE,50323,,77,POLK,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64868,FIREBALL CINNAMON WHISKEY,6,1750,15.33,23.00,2,46.0,3.5,0.92,,
INV-41307500058,2021-10-25,6236,WESTSIDE SPIRITS / CEDAR RAPIDS,3330 16TH AVE. SW,CEDAR RAPIDS,52404,"{'type': 'Point', 'coordinates': [-91.715563, 41.963571]}",57,LINN,1011200,STRAIGHT BOURBON WHISKIES,619,CAMPARI AMERICA,22158,WILD TURKEY 101,6,1750,25.00,37.50,2,75.0,3.5,0.92,,
